iter	Passed	Remaining
614	180810	113190
615	180994	112827
616	181192	112474
617	181380	112115
618	181594	111773
619	181818	111436
620	182019	111087
621	182222	110739
622	182418	110388
623	182637	110050
624	182821	109692
625	183006	109336
626	183196	108983
627	183380	108626
628	183626	108307
629	184113	108129
630	184575	107937
631	185137	107801
632	185498	107548
633	185716	107211
634	186359	107119
635	186941	106991
636	187376	106778
637	187875	106600
638	188354	106410
639	188826	106215
640	189109	105913
641	189293	105556
642	189597	105266
643	189868	104958
644	190059	104606
645	190304	104284
646	190574	103976
647	190824	103657
648	191038	103319
649	191300	103007
650	191495	102660
651	191703	102320
652	192264	102168
653	192554	101871
654	192833	101569
655	193170	101296
656	193457	100998
657	193778	100717
658	194093	100433
659	194308	100098
660	194688	99847
661	195083	99604
662	195325	99282
663	195697	99027
664	195941	98707
665	196168	98379
666	196492	98098
667	196761	97791
668	197112	97525
669	197385	97219
670	197631	96901
671	197856	96572
672	198043	96226
673	198233	95881
674	198423	95537
675	198637	95204
676	198819	94857
677	199060	94539
678	199265	94203
679	199452	93859
680	199660	93526
681	199866	93192
682	200079	92862
683	200280	92527
684	200538	92218
685	200730	91879
686	200946	91552
687	201273	91275
688	201628	91010
689	201984	90746
690	202427	90520
691	203039	90370
692	203302	90063
693	203616	89779
694	203862	89464
695	204082	89139
696	204347	88834
697	204635	88538
698	204892	88229
699	205128	87912
700	205354	87590
701	205614	87283
702	206005	87032
703	206311	86744
704	206569	86436
705	206790	86114
706	207005	85788
707	207203	85456
708	207469	85153
709	207716	84841
710	207944	84523
711	208223	84225
712	208483	83919
713	208738	83612
714	208945	83285
715	209208	82982
716	209458	82673
717	209713	82366
718	209992	82069
719	210380	81814
720	210677	81524
721	211018	81250
722	211384	80986
723	211689	80699
724	211952	80395
725	212199	80086
726	212504	79798
727	212795	79506
728	213066	79205
729	213569	78991
730	213935	78726
731	214263	78446
732	214601	78169
733	215135	77964
734	215665	77757
735	216086	77509
736	216400	77222
737	216992	77035
738	217263	76733
739	217510	76422
740	217752	76110
741	217997	75799
742	218201	75474
743	218447	75164
744	218728	74866
745	218961	74552
746	219198	74239
747	219461	73936
748	219715	73629
749	219982	73327
750	220218	73015
751	220450	72701
752	220699	72393
753	220916	72076
754	221109	71750
755	221336	71436
756	221575	71126
757	221784	70807
758	222001	70490
759	222220	70174
760	222437	69858
761	222671	69548
762	222913	69240
763	223172	68938
764	223403	68627
765	223631	68315
766	223860	68004
767	224125	67704
768	224340	67389
769	224596	67087
770	224810	66772
771	225096	66479
772	225352	66177
773	225645	65886
774	225907	65585
775	226205	65296
776	226437	64987
777	226807	64718
778	227141	64439
779	227481	64161
780	227846	63890
781	228175	63609
782	228478	63320
783	228828	63044
784	229210	62777
785	229464	62475
786	229825	62201
787	230118	61909
788	230465	61632
789	230946	61390
790	231358	61130
791	231812	60880
792	232288	60635
793	232645	60358
794	232912	60059
795	233154	59753
796	233484	59469
797	233748	59169
798	234035	58874
799	234318	58579
800	234612	58286
801	234994	58016
802	235271	57719
803	235489	57407
804	235706	57096
805	235909	56782
806	236131	56472
807	236368	56166
808	236562	55850
809	236792	55543
810	236990	55229
811	237225	54924
812	237454	54617
813	237649	54303
814	237845	53989
815	238054	53679
816	238265	53369
817	238478	53059
818	238747	52763
819	238973	52457
820	239190	52149
821	239460	51853
822	239721	51556
823	239986	51259
824	240233	50958
825	240486	50659
826	240749	50362
827	240980	50058
828	241249	49763
829	241495	49462
830	241770	49168
831	242006	48866
832	242229	48562
833	242486	48264
834	242729	47964
835	242956	47661
836	243198	47361
837	243437	47060
838	243685	46761
839	243905	46458
840	244125	46154
841	244376	45856
842	244573	45549
843	244768	45241
844	244985	44938
845	245204	44635
846	245408	44329
847	245619	44026
848	245803	43717
849	246034	43417
850	246303	43124
851	246510	42821
852	246731	42520
853	246961	42220
854	247150	41914
855	247356	41611
856	247558	41307
857	247746	41002
858	247979	40704
859	248189	40403
860	248438	40107
861	248660	39808
862	248850	39504
863	249050	39202
864	249261	38902
865	249476	38602
866	249671	38300
867	249877	37999
868	250091	37700
869	250315	37403
870	250509	37101
871	250702	36800
872	250902	36500
873	251097	36199
874	251301	35900
875	251487	35598
876	251684	35298
877	251899	35002
878	252079	34700
879	252290	34403
880	252471	34102
881	252653	33801
882	252857	33504
883	253051	33205
884	253268	32910
885	253509	32618
886	253732	32324
887	253937	32028
888	254133	31730
889	254339	31435
890	254541	31139
891	254735	30842
892	254944	30547
893	255143	30251
894	255343	29956
895	255544	29661
896	255740	29365
897	255941	29071
898	256132	28775
899	256349	28483
900	256562	28190
901	256744	27894
902	256945	27601
903	257131	27305
904	257340	27013
905	257525	26718
906	257695	26423
907	257889	26129
908	258086	25837
909	258282	25544
910	258460	25250
911	258654	24957
912	258849	24665
913	259044	24373
914	259269	24085
915	259511	23798
916	259694	23505
917	259929	23218
918	260109	22925
919	260313	22635
920	260510	22345
921	260708	22055
922	260883	21763
923	261097	21475
924	261313	21187
925	261528	20899
926	261724	20610
927	261940	20322
928	262187	20038
929	262372	19748
930	262558	19459
931	262824	19176
932	263020	18887
933	263226	18600
934	263424	18312
935	263630	18025
936	263863	17741
937	264180	17461
